Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
346.0,69.16666667,94.0,24693.505,20.0,11.35446926,26.66666667,0.9878388259268294,,,
347.0,69.58333333,94.0,22357.535,20.0,11.768446260000005,26.66666667,1.0238548247073174,,,
348.0,70.0,94.0,22357.535,21.0,12.182423260000009,26.66666667,1.0598708234878056,,,
349.0,70.41666667,94.0,22357.535,21.0,12.497311884060155,26.66666667,1.08726613375188,,,
350.0,70.83333333,94.0,24933.29,22.0,12.74614159082707,26.66666667,1.108914318338346,,,
351.0,71.25,95.0,24933.29,22.0,12.994971297593985,27.61904762,1.1305625029248119,,,
352.0,71.66666667,95.0,24933.29,23.0,13.00990108,27.61904762,1.131861394,,,
353.0,72.08333333,96.0,24144.32,23.0,13.00990108,28.57142857,1.131861394,,,
354.0,72.5,96.0,24144.32,23.0,13.00990108,28.57142857,1.131861394,,,
355.0,72.91666667,96.0,25188.545,23.0,13.00990108,28.57142857,1.131861394,,,
356.0,73.33333333,97.0,25188.545,23.0,13.00990108,29.52380952,1.131861394,,,
357.0,73.75,97.0,25188.545,23.0,13.072665203076925,29.52380952,1.1373218727692307,,,
358.0,74.16666667,97.0,26139.95,23.0,13.151120356923077,29.52380952,1.1441474712307693,,,
359.0,74.58333333,96.0,26139.95,23.0,13.161048988064518,28.57142857,1.1450112621774196,,,
360.0,75.0,96.0,26426.145,23.0,12.896871528387095,28.57142857,1.122027823064516,,,
361.0,75.41666667,96.0,26426.145,24.0,12.632694068709672,28.57142857,1.0990443839516122,,,
362.0,75.83333333,95.0,26426.145,24.0,12.512880554062498,27.61904762,1.0886206082812497,,,
363.0,76.25,95.0,26720.075,24.0,12.449208573593747,27.61904762,1.0830811461718748,,,
364.0,76.66666667,95.0,26720.075,23.0,12.406325753577237,27.61904762,1.0793503409593497,,,
365.0,77.08333333,95.0,26650.46,23.0,12.472586025934959,27.61904762,1.0851149844552845,,,
366.0,77.5,95.0,26650.46,23.0,12.538846298292682,27.61904762,1.0908796279512194,,,
367.0,77.91666667,95.0,26650.46,23.0,12.60866082328358,27.61904762,1.0969534915970147,,,
368.0,78.33333333,95.0,26921.185,23.0,12.679998599402984,27.61904762,1.103159878164179,,,
369.0,78.75,95.0,26921.185,23.0,12.748380138080002,27.61904762,1.1091090720720003,,,
370.0,79.16666667,95.0,26828.365,23.0,12.671906042080002,27.61904762,1.102455825672,,,
371.0,79.58333333,96.0,26828.365,23.0,12.595431946080001,28.57142857,1.095802579272,,,
372.0,80.0,96.0,26828.365,23.0,12.520544136576577,28.57142857,1.089287339936937,,,
373.0,80.41666667,97.0,27748.83,24.0,12.447120591531531,29.52380952,1.0828994917387387,,,
374.0,80.83333333,97.0,27748.83,24.0,12.439271508770494,29.52380952,1.082216621647541,,,
375.0,81.25,97.0,27733.36,24.0,12.584429504672134,29.52380952,1.0948453671393445,,,
376.0,81.66666667,98.0,27733.36,24.0,12.729587500573773,30.47619048,1.1074741126311478,,,
377.0,82.08333333,98.0,27733.36,25.0,12.527432128857143,30.47619048,1.0898865953238095,,,
378.0,82.5,98.0,30254.97,24.0,12.268737371714288,30.47619048,1.0673801515142858,,,
379.0,82.91666667,99.0,30254.97,24.0,12.20665063,31.42857143,1.061978605,,,
380.0,83.33333333,99.0,30254.97,24.0,12.20665063,31.42857143,1.061978605,,,
381.0,83.75,100.0,30332.32,24.0,12.20665063,32.38095238,1.061978605,,,
382.0,84.16666667,100.0,30332.32,23.0,12.36310323177215,32.38095238,1.0755899813291137,,,
383.0,84.58333333,101.0,30332.32,23.0,12.718677326708855,33.33333333,1.106524927531645,,,
384.0,85.0,101.0,30332.32,23.0,13.074251421645561,33.33333333,1.1374598737341766,,,
385.0,85.41666667,102.0,30332.32,23.0,13.494841734313711,34.28571429,1.1740512309346394,,,
386.0,85.83333333,102.0,30332.32,23.0,14.082616606862741,34.28571429,1.225187644986928,,,
387.0,86.25,102.0,30332.32,22.0,14.670391479411773,34.28571429,1.2763240590392164,,,
388.0,86.66666667,102.0,30332.32,22.0,15.12885588,34.28571429,1.3162104620000001,,,
389.0,87.08333333,102.0,30982.06,22.0,15.12885588,34.28571429,1.3162104620000001,,,
390.0,87.5,101.0,30982.06,22.0,15.12885588,33.33333333,1.3162104620000001,,,
391.0,87.91666667,101.0,30982.06,22.0,15.12885588,33.33333333,1.3162104620000001,,,
392.0,88.33333333,101.0,30293.645,22.0,15.12885588,33.33333333,1.3162104620000001,,,
393.0,88.75,101.0,30293.645,22.0,15.117719098344827,33.33333333,1.3152415619931035,,,
394.0,89.16666667,101.0,30293.645,21.0,14.932106070758618,33.33333333,1.2990932285448276,,,
395.0,89.58333333,100.0,30440.61,21.0,14.746493043172409,32.38095238,1.2829448950965514,,,
396.0,90.0,100.0,30440.61,21.0,14.62178260898551,32.38095238,1.2720950872898553,,,
397.0,90.41666667,100.0,28955.49,21.0,14.816810790144928,32.38095238,1.2890625391014494,,,
398.0,90.83333333,100.0,28955.49,21.0,15.011838971304345,32.38095238,1.3060299909130433,,,
399.0,91.25,100.0,28955.49,21.0,15.04133103772358,32.38095238,1.3085958006991876,,,
400.0,91.66666667,100.0,27857.12,21.0,14.822518932032521,32.38095238,1.2895591474471546,,,
401.0,92.08333333,100.0,27857.12,21.0,14.603706826341462,32.38095238,1.2705224941951219,,,
402.0,92.5,100.0,27857.12,21.0,14.590578099999998,32.38095238,1.269380295,,,
403.0,92.91666667,100.0,28274.81,22.0,14.590578099999998,32.38095238,1.269380295,,,
404.0,93.33333333,100.0,28274.81,22.0,14.599227694049587,32.38095238,1.270132809644628,,,
405.0,93.75,101.0,29040.575,22.0,14.653287656859504,33.33333333,1.2748360261735538,,,
406.0,94.16666667,101.0,29040.575,22.0,14.707347619669422,33.33333333,1.2795392427024794,,,
407.0,94.58333333,101.0,29040.575,22.0,14.72140321,33.33333333,1.280762079,,,
408.0,95.0,101.0,29288.095,22.0,14.72140321,33.33333333,1.280762079,,,
409.0,95.41666667,101.0,29288.095,22.0,14.72140321,33.33333333,1.280762079,,,
410.0,95.83333333,101.0,29288.095,22.0,14.72140321,33.33333333,1.280762079,,,
